#GeneID,a1,b1,g1,GOF1,a2,b2,g2,GOF2,s1,f1,d1,s2,f2,d2,Rs,Rf,Rd,pSize,pFreq,pDuty,p-value,mu1,cv1,mu2,cv2
YJR029W,0.7995,36.6022,2346.4725,0.435,0.8168,4.0193,511.0523,0.317,66.8578,0.7799,0.0248,132.8484,0.6761,0.1723,0.9906,-0.2061,2.7978,0.0,0.0,0.0,0.000424,49.5259,1.8485,84.3851,1.0451
YJR030C,0.1799,4.2731,824.7965,5.560000000000001e-09,0.2211,1.8254,152.6791,3.55e-06,212.4315,0.172,0.0439,89.7994,0.1959,0.114,-1.2422,0.1883,1.3786,0.0,0.0,0.0,0.722,24.3356,4.0102,12.9758,2.6188
YJR031C,0.176,1.8555,515.7639,3.08e-06,0.1876,1.6569,902.7872,0.000197,297.1459,0.16,0.0907,580.7579,0.1676,0.1064,0.9668,0.0675,0.2307,0.0,6.25e-08,7.29e-27,0.0369,35.6946,2.8225,80.6741,2.2295
YJR032W,0.201,2.6097,422.5469,6.62e-06,0.212,2.5453,1335.7781,0.00212,173.126,0.1858,0.0755,551.6061,0.1949,0.08,1.6718,0.0692,0.0835,0.0,1.25e-08,4.56e-06,0.0030399999999999997,24.118,2.9964,93.0073,2.1376
YJR033C,0.1988,1.9686,625.7709,0.0028699999999999997,0.1597,6.5222,2332.5933,4.0300000000000004e-08,337.6555,0.1798,0.0959,393.7759,0.1555,0.0261,0.2218,-0.2088,-1.8789,7.440000000000001e-15,0.0,0.0,0.00183,46.5363,2.4810,35.0997,6.3553
YJR034W,0.2585,1.6031,125.2979,0.00158,0.248,2.1457,254.9723,0.00313,83.8649,0.2211,0.1455,126.4812,0.2212,0.1081,0.5928,0.0009,-0.4297,0.0,0.266,0.0,0.943,15.7296,1.8858,22.1587,2.2149
YJR035W,0.1981,2.2835,821.807,0.00108,0.2144,4.7172,599.663,8.25e-07,381.1275,0.1816,0.0832,136.1136,0.2044,0.046,-1.4855,0.1713,-0.8564,0.0,0.0,0.0,0.0984,58.7183,2.3346,20.7689,3.4714
YJR036C,0.2008,6.4367,2175.7037,0.0011300000000000001,0.1799,6.4501,1007.8229,4.83e-10,375.737,0.1941,0.0344,172.0312,0.1746,0.0299,-1.1271,-0.1527,-0.2019,0.0,0.0,2.28e-08,0.000173,58.048,3.4361,18.4706,5.6412
YJR037W,0.563,5.1422,18.8711,3.5699999999999995e-08,0.8098,7.3516,10.8209,9.22e-10,3.8828,0.5042,0.1042,1.5988,0.7267,0.1025,-1.2801,0.5273,-0.0237,0.0,0.0,0.0282,0.0889,1.655,3.4670,0.9488,5.4246
YJR038C,0.3929,1.9726,16.8954,6.8e-07,17.0113,25.1986,0.5213,0.005379999999999999,9.1895,0.3251,0.1733,0.024,9.1616,0.443,-8.5833,4.8166,1.3542,0.0,0.0,0.0,0.014,2.3629,2.4297,0.1903,6.5311
YJR039W,0.207,2.2175,861.0395,0.0018399999999999998,0.1592,2.3692,858.8329,1.46e-09,413.7566,0.1884,0.0894,394.7085,0.1485,0.0673,-0.068,-0.3433,-0.4098,0.000649,0.0,0.0,0.0011,67.6905,2.0708,35.2564,4.0542
YJR040W,0.1867,2.2116,599.0966,1.47e-06,0.2011,4.2138,3614.847,0.0069,290.3962,0.1714,0.082,918.6975,0.1915,0.048,1.6616,0.1605,-0.7728,0.0,0.0,0.0,0.000872,39.57,2.6235,144.0897,2.7302
YJR041C,0.2266,5.3479,256.0024,7.04e-12,0.1853,2.0216,1654.9348,0.00143,52.2702,0.2165,0.044,863.9294,0.1691,0.0871,4.0469,-0.356,0.9853,0.0,0.0,0.0,5.72e-05,7.5862,4.5264,124.5906,2.2297
YJR042W,0.2229,1.7605,927.1685,0.0251,0.2042,5.1877,5321.7125,0.00432,550.3745,0.197,0.1159,1106.1265,0.196,0.0405,1.007,-0.0076,-1.517,0.0,0.861,0.0,0.998,98.4623,1.8053,166.7689,3.1716
YJR043C,0.2261,3.6891,224.2724,5.22e-08,0.209,2.617,494.0241,1.21e-06,65.6887,0.2121,0.0615,200.3899,0.1928,0.0776,1.6091,-0.1373,0.3348,0.0,5.33e-24,0.0,0.185,9.6868,3.6153,31.2604,2.5694
YJR044C,0.4713,2.6169,863.0417,0.346,0.3676,3.2725,1219.0681,0.136,346.8021,0.3973,0.1574,390.2821,0.3291,0.1043,0.1704,-0.2716,-0.5942,2.75e-15,0.0,0.0,0.445,134.2737,1.1283,126.2053,1.3279
YJR045C,0.8334,38.9115,37879.0505,0.23,2.1395,46.8605,31913.3667,0.533,1009.0487,0.8159,0.0213,699.2715,2.0459,0.044,-0.5291,1.3263,1.0438,0.0,0.0,0.0,9.72e-07,805.1426,0.9498,1392.9631,0.7508
YJR046W,0.1798,1.6734,1722.7409,0.000474,0.2284,3.3925,1863.4788,0.00361,1096.5662,0.1615,0.1017,580.8585,0.2133,0.0659,-0.9167,0.4017,-0.6264,0.0,0.0,0.0,0.212,165.4323,1.9609,109.9981,2.0774
YJR047C,0.2528,5.8924,135.2065,3.74e-11,0.2202,3.0381,197.0996,2.98e-08,24.8492,0.2419,0.0441,69.6576,0.2043,0.072,1.4871,-0.2433,0.7072,0.0,0.0,0.0,0.195,3.9068,5.0889,10.3964,3.1922
YJR048W,0.2815,2.1463,50.4776,4.34e-08,0.2582,1.5268,263.9966,0.0827,25.1796,0.2471,0.1226,180.8095,0.2196,0.1486,2.8441,-0.1697,0.2778,0.0,0.0,0.0,5.42e-06,4.584,2.8151,36.4793,1.6359
YJR049C,0.2058,1.0435,423.7874,0.0189,0.1898,2.0639,1295.4277,0.0045899999999999995,423.7544,0.1709,0.1689,667.2335,0.1732,0.088,0.655,0.019,-0.9408,0.0,0.17,0.0,0.806,63.9173,1.7472,91.8151,2.3758
