#GeneID	a1	b1	g1	GOF1	a2	b2	g2	GOF2	s1	f1	d1	s2	f2	d2	Rs	Rf	Rd	pSize	pFreq	pDuty	p-value	mu1	cv1	mu2	cv2

ERCC-00046	1.9926	4.6911	1747.0224	9.6400e-01	1.9630	6.8127	2817.2340	7.5200e-01	382.5796	1.3951	0.2993	426.2187	1.5204	0.2258	0.1558	0.1241	-0.4070	0.0000e+00	5.9800e-15	0.0000e+00	1.5600e-01	516.3099	0.5563	630.0908	0.6340
ERCC-00048	41.2250	283.5758	0.2699	1.0000e+00	40.8322	415.2061	0.0021	-1.0000e+00	0.0009	35.4543	0.1286	0.0000	36.8934	0.0915	-7.6381	0.0574	-0.4910	0.0000e+00	1.8300e-16	0.0000e+00	9.9900e-01	0.0150	8.8882	0.0000	 nan
ERCC-00051	1.0559	3.2641	4.9730	2.0800e-06	0.8383	3.2491	6.9465	5.8700e-08	1.6669	0.7883	0.2522	2.2900	0.6511	0.2214	0.4582	-0.2759	-0.1884	0.0000e+00	0.0000e+00	2.7200e-13	1.0000e+00	1.1461	2.8932	1.3063	2.7051
ERCC-00053	0.2047	3.6136	237.9689	3.3600e-09	0.2030	6.5222	443.0820	5.2800e-07	73.3456	0.1928	0.0589	74.7689	0.1964	0.0330	0.0277	0.0267	-0.8341	3.5900e-01	2.1200e-02	0.0000e+00	1.0000e+00	8.8034	4.3141	8.4554	5.9023
ERCC-00054	51.5457	525.2704	5.4219	1.3200e-01	1.3488	7.6408	6.8256	5.0000e-07	0.0107	46.8103	0.0894	0.9319	1.1331	0.1552	6.4475	-5.3684	0.7955	0.0000e+00	0.0000e+00	0.0000e+00	4.0800e-01	0.4826	1.7485	0.9395	4.5613
ERCC-00059	0.2562	10.9551	227.2907	1.8600e-11	0.7452	6.1852	9.6358	4.1200e-12	23.0171	0.2497	0.0252	1.6476	0.6611	0.1115	-3.8043	1.4047	2.1433	0.0000e+00	0.0000e+00	0.0000e+00	9.9900e-01	3.3656	7.5794	0.9103	5.1351
ERCC-00060	0.4280	3.1751	389.9542	2.3700e-01	0.5795	12.5830	1311.8375	8.1400e-01	129.3551	0.3751	0.1238	109.1989	0.5520	0.0479	-0.2444	0.5574	-1.3694	0.0000e+00	0.0000e+00	0.0000e+00	2.0500e-01	45.7038	1.3477	58.2955	1.3535
ERCC-00062	0.2111	3.9031	481.5010	2.3500e-06	0.1973	1.3402	263.7653	1.2600e-04	131.9743	0.1996	0.0545	208.9424	0.1709	0.1337	0.6628	-0.2245	1.2951	0.0000e+00	0.0000e+00	0.0000e+00	9.1300e-01	20.5972	2.9903	28.4374	2.2085
ERCC-00069	0.5641	17.5325	39.3109	4.4100e-09	27.0734	298.7728	0.5606	6.9200e-01	2.3756	0.5456	0.0329	0.0019	24.4792	0.0881	-10.3205	5.4877	1.4214	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.9820	8.8882	0.0330	6.9933
ERCC-00071	0.2646	4.7373	145.0139	1.1400e-08	0.2357	1.9464	148.0907	2.7000e-09	33.0343	0.2498	0.0563	81.0957	0.2090	0.1132	1.2957	-0.2572	1.0091	0.0000e+00	0.0000e+00	0.0000e+00	4.1500e-01	5.9992	3.5991	13.1389	2.4207
ERCC-00073	9.1971	254.7161	4.3902	5.3500e-02	27.8279	151.5639	0.1930	-1.0000e+00	0.0176	8.6220	0.0496	0.0013	23.3549	0.1590	-3.7393	1.4376	1.6805	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.0000	 nan	0.0180	9.0000
ERCC-00074	3.0650	28.2734	29633.4901	4.6600e-01	2.2092	17.6045	29962.1222	5.3900e-01	1074.2702	2.7641	0.0981	1750.7428	1.9594	0.1121	0.7046	-0.4964	0.1912	0.0000e+00	0.0000e+00	0.0000e+00	2.7300e-01	2919.8358	0.5379	3332.4735	0.6844
ERCC-00075	48.7326	327.8554	0.7830	9.6400e-01	24.5885	325.3352	1.2890	1.0000e+00	0.0024	42.2624	0.1287	0.0041	22.7414	0.0746	0.7398	-0.8941	-0.7856	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.0873	4.3060	0.0854	3.8227
ERCC-00076	0.2271	1.5849	195.5334	2.7600e-06	0.2509	3.2219	917.2722	5.7900e-03	130.8341	0.1975	0.1306	303.4092	0.2319	0.0760	1.2135	0.2318	-0.7820	0.0000e+00	0.0000e+00	0.0000e+00	1.5100e-02	22.1379	1.9809	60.2605	2.0832
ERCC-00077	5.5874	8.7601	1.2664	1.0300e-02	34.4166	155.9039	0.5913	7.3000e-01	0.1710	3.3461	0.3859	0.0041	28.0401	0.1778	-5.3774	3.0669	-1.1176	0.0000e+00	0.0000e+00	0.0000e+00	7.0100e-01	0.4599	6.1662	0.0936	4.0576
ERCC-00078	0.2014	2.8355	218.0922	3.0800e-05	0.1909	3.2590	317.5382	1.7800e-08	82.8832	0.1873	0.0707	107.1415	0.1795	0.0602	0.3704	-0.0614	-0.2317	0.0000e+00	3.3100e-07	2.9400e-20	1.0000e+00	10.1521	3.7733	12.7124	3.9830
ERCC-00079	0.2212	5.5366	496.9121	4.5500e-09	0.1955	6.2240	890.5724	3.4000e-05	97.9110	0.2120	0.0416	156.3800	0.1891	0.0329	0.6755	-0.1648	-0.3410	0.0000e+00	0.0000e+00	0.0000e+00	8.4200e-01	14.7268	3.8474	19.7271	4.5566
ERCC-00081	45.7975	341.3329	0.9256	9.5800e-01	49.2488	125.4010	0.3747	8.8000e-01	0.0028	39.8319	0.1307	0.0030	35.0291	0.2829	0.0839	-0.1854	1.1142	4.0400e-03	0.0000e+00	0.0000e+00	9.7300e-01	0.1033	3.5278	0.0923	4.5062
ERCC-00083	42.2845	280.0074	0.2604	-1.0000e+00	20.7172	867.6638	41.2858	2.8300e-16	0.0009	36.1696	0.1289	0.0274	19.9869	0.0269	4.8692	-0.8557	-2.2619	0.0000e+00	0.0000e+00	0.0000e+00	9.9900e-01	0.0167	8.8882	0.0000	 nan
ERCC-00084	0.1802	8.1121	846.1647	6.1800e-08	0.2124	10.3359	462.3811	6.2000e-08	115.8989	0.1759	0.0238	49.8544	0.2076	0.0222	-1.2171	0.2391	-0.0998	0.0000e+00	0.0000e+00	1.9900e-03	1.0000e+00	10.4447	7.9771	5.3025	8.7757
ERCC-00085	0.3857	15.6848	134.3377	4.2000e-08	8.4371	3.1260	1.0031	9.6600e-04	9.2181	0.3762	0.0254	0.3605	2.2142	0.7200	-4.6764	2.5571	4.8231	0.0000e+00	0.0000e+00	0.0000e+00	9.1900e-01	2.4352	6.6068	0.7116	1.7822
ERCC-00086	22.7622	324.5531	0.0085	-1.0000e+00	18.1459	157.8501	0.3428	1.0000e+00	0.0000	21.0917	0.0684	0.0022	16.2069	0.1051	6.7372	-0.3801	0.6191	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.0000	 nan	0.0202	9.0000
ERCC-00092	0.2412	2.0271	614.6944	7.5500e-03	0.2226	1.8921	1109.9728	6.8300e-02	317.3752	0.2147	0.1099	622.8738	0.1982	0.1098	0.9728	-0.1154	-0.0007	0.0000e+00	4.8400e-18	8.6200e-01	6.5800e-01	61.2875	1.8247	111.3092	1.8870
ERCC-00095	0.2697	1.7847	139.2003	7.4400e-04	0.2501	1.2539	236.4862	6.5700e-02	82.0182	0.2332	0.1357	196.9053	0.2071	0.1707	1.2635	-0.1715	0.3314	0.0000e+00	0.0000e+00	0.0000e+00	1.7400e-01	17.0228	1.8572	37.7881	1.5906
ERCC-00096	2.0373	4.8262	16131.1870	1.3000e-01	2.0807	16.0822	47027.1272	2.9800e-01	3426.3830	1.4297	0.2975	2999.7595	1.8409	0.1152	-0.1918	0.3647	-1.3690	0.0000e+00	0.0000e+00	0.0000e+00	3.2300e-01	4714.7013	0.5508	5381.3960	0.6553
ERCC-00097	60.0991	372.0579	0.2153	9.8600e-01	24.6988	599.0089	1.1311	8.9200e-01	0.0006	51.3838	0.1418	0.0021	23.1827	0.0440	1.8291	-1.1483	-1.6865	0.0000e+00	0.0000e+00	0.0000e+00	9.9900e-01	0.0160	8.8882	0.0000	 nan
ERCC-00098	22.7917	155.7286	1.9571	3.2200e-01	19.1608	30.2154	0.9459	8.0300e-02	0.0121	18.9729	0.1492	0.0364	11.2629	0.4171	1.5847	-0.7524	1.4834	0.0000e+00	0.0000e+00	0.0000e+00	5.5200e-01	0.2227	2.6616	0.3584	2.1557
ERCC-00099	30.3043	303.3069	18.8851	4.8600e-02	1.2796	14.7423	34.7260	6.2600e-02	0.0633	27.3900	0.0941	2.5223	1.1728	0.0845	5.3159	-4.5456	-0.1553	0.0000e+00	0.0000e+00	1.2800e-07	6.0000e-01	1.7003	0.8966	2.6693	2.6403
ERCC-00104	45.5986	429.1984	0.3265	1.0000e+00	31.8674	228.3619	0.2899	-1.0000e+00	0.0008	41.1673	0.0963	0.0014	27.4270	0.1422	0.8380	-0.5859	0.5626	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.0174	8.8882	0.0219	9.0000
ERCC-00108	0.5217	19.0846	16813.1114	6.0900e-01	0.5866	19.1093	16847.9154	1.1500e-01	927.4379	0.5072	0.0275	913.5245	0.5687	0.0304	-0.0218	0.1652	0.1405	1.4100e-01	0.0000e+00	3.9200e-21	4.8300e-01	451.6270	1.5611	502.6739	1.2906
ERCC-00109	28.8030	401.8971	0.4144	1.0000e+00	46.3286	200.4744	0.0735	-1.0000e+00	0.0011	26.8186	0.0698	0.0004	37.3472	0.1888	-1.6071	0.4778	1.4354	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.0157	8.8882	0.0027	9.0000
ERCC-00111	0.3091	1.5134	675.2764	5.4400e-01	0.3644	12.4285	8018.9148	3.7400e-02	466.8260	0.2553	0.1737	677.5278	0.3532	0.0304	0.5374	0.4683	-2.5142	0.0000e+00	0.0000e+00	0.0000e+00	3.0100e-02	115.1676	1.3337	236.9332	1.5239
ERCC-00112	0.1790	2.9428	829.1193	9.1500e-07	0.1656	1.3942	700.5152	2.2000e-07	306.4713	0.1680	0.0613	532.2829	0.1473	0.1104	0.7964	-0.1899	0.8476	0.0000e+00	0.0000e+00	0.0000e+00	9.6700e-01	38.6655	3.0789	67.0573	2.2524
ERCC-00113	1.6351	67.7151	28318.3939	5.4900e-01	1.6168	48.1077	22841.2352	9.0300e-01	430.3230	1.5960	0.0242	487.9319	1.5639	0.0327	0.1813	-0.0293	0.4391	0.0000e+00	8.0000e-02	0.0000e+00	7.7800e-01	667.9780	0.7923	741.1132	0.8590
ERCC-00116	0.1671	3.1085	1093.9123	1.3800e-10	0.1646	2.7874	1215.3037	1.5800e-08	384.2001	0.1580	0.0550	474.6188	0.1548	0.0600	0.3049	-0.0293	0.1254	1.1300e-26	6.5500e-03	3.4400e-06	1.0000e+00	40.7949	3.8259	53.2622	3.2759
ERCC-00117	0.2336	11.2274	299.9776	2.7800e-11	29.7471	451.8209	0.7274	7.2400e-01	29.9134	0.2284	0.0224	0.0016	27.6794	0.0654	-14.2036	6.9214	1.5453	0.0000e+00	0.0000e+00	0.0000e+00	9.9900e-01	3.6499	8.7913	0.0337	6.3421
ERCC-00120	35.3236	242.1581	1.4013	7.1900e-01	38.7642	225.3197	1.3669	9.9800e-01	0.0058	30.0479	0.1395	0.0062	32.7472	0.1456	0.1089	0.1241	0.0616	1.2800e-02	3.8500e-13	6.0500e-24	9.9800e-01	0.1667	2.6786	0.1850	2.9517
ERCC-00123	39.2061	362.3529	0.5116	1.0000e+00	34.3886	346.9388	0.0000	-1.0000e+00	0.0015	35.1861	0.1042	0.0000	31.1160	0.0940	-14.6501	-0.1773	-0.1486	0.0000e+00	0.0000e+00	9.3600e-10	9.7200e-01	0.0385	6.3191	0.0000	 nan
ERCC-00126	0.4023	12.6075	66.3530	5.7500e-15	0.4584	17.1873	59.5736	1.6400e-13	5.6397	0.3890	0.0326	3.7377	0.4462	0.0274	-0.5935	0.1981	-0.2512	0.0000e+00	3.0800e-25	0.0000e+00	9.7300e-01	1.5745	7.0268	1.1656	9.0000
ERCC-00130	3.0039	48.9942	76245.4444	3.0200e-01	2.1380	12.3827	37191.2299	4.3400e-01	1602.8236	2.8300	0.0581	3086.3130	1.8206	0.1478	0.9453	-0.6364	1.3480	0.0000e+00	0.0000e+00	0.0000e+00	2.1600e-02	4412.7828	0.5319	5488.7581	0.6311
ERCC-00131	0.2408	1.7467	341.1052	1.0900e-03	0.2128	2.3687	775.1992	6.5300e-03	205.4091	0.2104	0.1252	347.9178	0.1943	0.0861	0.7602	-0.1149	-0.5399	0.0000e+00	1.2700e-17	0.0000e+00	9.3600e-01	39.3824	1.7707	58.9237	2.1083
ERCC-00134	4.3099	1198.8841	614.3114	1.6000e-26	17.7286	139.2814	0.7744	9.8700e-01	0.3594	4.2257	0.0067	0.0062	15.6749	0.1151	-5.8604	1.8912	4.0939	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.0000	 nan	0.0746	6.9664
ERCC-00136	1.3097	119.5077	58668.9843	5.6700e-01	1.2606	7.8817	4529.5153	2.2500e-02	506.0070	1.2952	0.0111	592.8492	1.0849	0.1393	0.2285	-0.2556	3.6481	0.0000e+00	0.0000e+00	0.0000e+00	6.5800e-01	631.4871	0.9873	627.5371	0.7768
ERCC-00138	40.8349	229.5030	0.3249	1.0000e+00	0.2267	8.8829	340.9032	6.2200e-10	0.0018	34.1051	0.1418	42.2129	0.2205	0.0271	14.5455	-7.2730	-2.3859	0.0000e+00	0.0000e+00	0.0000e+00	1.3200e-01	0.0000	 nan	5.4985	6.7854
ERCC-00143	0.3425	14.4904	110.8131	1.3900e-12	0.3426	15.3715	112.2212	3.8400e-12	8.3656	0.3341	0.0249	7.8285	0.3348	0.0231	-0.0957	0.0031	-0.1080	4.1300e-04	3.4000e-01	5.5100e-06	9.9900e-01	1.7907	8.3677	1.6661	8.9712
ERCC-00144	0.2442	4.2196	168.7021	8.1200e-08	0.2749	5.4530	99.6508	1.4200e-09	42.7167	0.2300	0.0581	19.5612	0.2610	0.0512	-1.1268	0.1823	-0.1828	0.0000e+00	0.0000e+00	3.3500e-16	5.3400e-01	7.3416	3.4882	3.5644	4.4694
ERCC-00145	0.2946	1.6634	926.2383	2.6300e-01	0.4342	2.5984	1525.8845	4.9600e-01	588.8737	0.2486	0.1561	613.2965	0.3702	0.1469	0.0586	0.5745	-0.0870	7.8000e-05	0.0000e+00	2.0900e-07	1.3100e-02	136.8193	1.3962	214.1344	1.2076
ERCC-00148	1.5081	8.5232	4.4579	8.3600e-08	0.6887	16.1075	24.5613	1.9800e-09	0.5460	1.2695	0.1556	1.6300	0.6596	0.0433	1.5780	-0.9446	-1.8446	0.0000e+00	0.0000e+00	0.0000e+00	9.9900e-01	0.6248	6.3379	0.8356	8.9413
ERCC-00150	33.6263	279.6002	0.2656	-1.0000e+00	0.2709	12.9446	209.2931	1.5600e-13	0.0010	29.8900	0.1083	17.5561	0.2649	0.0221	14.1491	-6.8179	-2.2909	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.0162	8.8882	2.6373	8.9454
ERCC-00157	0.1843	6.5592	578.8774	6.3200e-11	0.2008	5.6195	331.6663	1.9700e-10	98.7818	0.1788	0.0301	63.6373	0.1934	0.0367	-0.6344	0.1128	0.2880	0.0000e+00	4.4400e-17	0.0000e+00	1.0000e+00	9.4542	6.5987	7.4541	5.5841
ERCC-00158	15.3854	244.2483	0.4317	1.0000e+00	0.1518	1311.2847	838272.7456	1.9900e-26	0.0018	14.3668	0.0638	1042.7645	0.1517	0.0001	19.1194	-6.5655	-9.0026	0.0000e+00	0.0000e+00	0.0000e+00	9.9900e-01	0.0148	8.8882	0.0000	 nan
ERCC-00160	0.5031	17.5383	52.1135	1.0200e-09	0.1938	5.4090	386.4849	6.2700e-12	3.2063	0.4879	0.0291	78.4188	0.1865	0.0375	4.6122	-1.3874	0.3636	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	1.1295	8.8554	8.3171	5.9040
ERCC-00162	0.2614	1.7372	53.8088	4.0500e-08	0.2120	2.5572	259.4055	1.6600e-06	33.2849	0.2256	0.1374	107.9995	0.1950	0.0806	1.6981	-0.2102	-0.7702	0.0000e+00	0.0000e+00	0.0000e+00	8.5900e-01	5.5512	2.5742	15.9558	2.7752
ERCC-00163	22.1189	149.3653	0.1337	1.0000e+00	0.2443	8.2924	214.7072	1.0600e-11	0.0009	19.1828	0.1298	28.3580	0.2368	0.0312	14.9089	-6.3401	-2.0579	0.0000e+00	0.0000e+00	0.0000e+00	9.9900e-01	0.0062	6.5971	4.1880	6.1082
ERCC-00164	56.6409	823.2063	0.0160	-1.0000e+00	24.0521	207.1552	0.5022	7.2400e-01	0.0000	52.6487	0.0619	0.0024	21.4924	0.1048	6.3570	-1.2926	0.7585	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.0000	 nan	0.0425	6.5002
ERCC-00165	0.1801	4.4594	671.7632	8.8700e-11	0.2007	4.4423	341.7778	6.2000e-12	164.0015	0.1726	0.0418	84.2574	0.1914	0.0467	-0.9608	0.1492	0.1589	0.0000e+00	0.0000e+00	5.1600e-09	1.0000e+00	17.7434	4.6333	10.5556	4.2912
ERCC-00168	20.6474	547.0128	1.1652	-1.0000e+00	0.3405	15.1196	108.5727	5.3800e-12	0.0024	19.8366	0.0400	7.7237	0.3326	0.0234	11.6685	-5.8983	-0.7740	0.0000e+00	0.0000e+00	0.0000e+00	9.9900e-01	0.0388	6.3091	1.6296	9.0000
ERCC-00170	0.2878	4.3741	72.9426	2.0200e-07	0.1982	7.1417	755.4736	2.1100e-05	17.8570	0.2692	0.0653	115.2930	0.1924	0.0292	2.6907	-0.4849	-1.1613	0.0000e+00	0.0000e+00	0.0000e+00	7.2400e-01	3.2780	4.1694	13.5072	5.6410
ERCC-00171	2.4939	40.1366	8064.6124	6.8600e-01	1.6135	22.5502	8187.2654	7.8800e-01	206.0756	2.3476	0.0589	373.0402	1.5045	0.0679	0.8562	-0.6419	0.2054	0.0000e+00	0.0000e+00	0.0000e+00	2.4500e-01	470.0825	0.6336	546.9929	0.8056
Q0045	0.3708	2.9021	51.4912	9.6700e-07	0.3776	2.3396	55.9869	1.6200e-02	18.8922	0.3272	0.1186	25.3144	0.3230	0.1450	0.4222	-0.0186	0.2905	0.0000e+00	3.1500e-01	0.0000e+00	2.6900e-01	5.1803	2.1239	7.1047	1.8549
Q0050	0.2402	2.0753	350.5322	2.2800e-04	0.2888	3.7051	754.5373	2.0200e-01	179.0919	0.2139	0.1096	215.1682	0.2670	0.0752	0.2648	0.3200	-0.5445	0.0000e+00	0.0000e+00	0.0000e+00	4.1900e-02	35.7903	1.8064	50.1628	1.9516
Q0055	0.2742	2.5258	123.0582	1.1900e-04	0.2174	3.7114	474.7967	1.1600e-04	51.4110	0.2462	0.1024	136.4475	0.2049	0.0580	1.4082	-0.2647	-0.8205	0.0000e+00	0.0000e+00	0.0000e+00	9.9600e-01	10.8066	2.1816	20.3578	3.1487
Q0060	0.4082	9.1393	52.0451	1.0600e-06	0.6724	7.9357	14.1125	6.0900e-12	6.1595	0.3894	0.0459	1.9060	0.6169	0.0812	-1.6923	0.6639	0.8238	0.0000e+00	0.0000e+00	0.0000e+00	5.3200e-01	1.7445	5.5366	0.9487	5.8915
Q0065	0.2955	8.7760	286.8976	1.0500e-02	0.3005	1.9877	85.3592	6.7700e-05	35.2932	0.2853	0.0347	45.3559	0.2596	0.1361	0.3619	-0.1361	1.9711	0.0000e+00	8.8800e-22	0.0000e+00	6.9600e-01	7.5412	4.0058	9.5587	2.0974
Q0070	0.4674	5.6721	27.7435	1.5000e-08	0.5421	3.5345	17.5369	1.6400e-07	5.2418	0.4302	0.0799	5.2436	0.4672	0.1378	0.0005	0.1193	0.7868	2.2900e-01	1.1300e-11	0.0000e+00	4.7000e-01	1.7346	4.0699	2.0765	2.6979
Q0075	2.6868	4.8919	1.6262	2.7700e-03	5.8550	6.3926	0.5735	3.2600e-03	0.3946	1.6601	0.3812	0.1091	2.9533	0.4948	-1.8544	0.8311	0.3763	0.0000e+00	0.0000e+00	0.0000e+00	6.9400e-01	0.5592	4.4949	0.2634	7.2455
Q0085	36.7473	234.5896	0.6019	5.4100e-01	20.4927	92.6687	0.6778	1.0000e+00	0.0028	31.4515	0.1426	0.0087	16.5751	0.1969	1.6409	-0.9241	0.4660	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.0665	8.8882	0.1166	5.2446
Q0105	24.0494	194.0409	0.4308	7.1300e-01	17.8799	47.1493	0.3192	9.8700e-01	0.0023	21.2989	0.1124	0.0078	11.6457	0.3160	1.7291	-0.8710	1.4906	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.0326	8.8882	0.0698	6.4244
