n_S,ksV,ksD,k2I,k2M,kn2M,kBM,knBM,k13I,k13IV,k13ID,k3A_c,k3I_c,k3I_n,k13_c,kn13_c,k13_n,kn13_n,k1in,k1out,k3inA,k3outA,k3inI,k3outI
7,4970.67491,1.247954177,0.026155488,58.70625432,1.522484944,0.264680425,121.8809084,11.11048768,918.0294105,12.9785723,0.946163972,0.430543141,0.557080328,2603.133677,1778.553138,171.1322845,1.149976869,74.15144737,920.7718488,9168.352923,1150.192976,0.013510006,3.561719132
3,5.836183682,0.834433008,1973.087325,1301.746367,1.14934543,0.028490198,384.1118715,0.025596549,2323.480137,423.8410936,4.423586779,5.235144722,0.243156043,273.8128729,340.9809476,1100.866829,4.209620635,26.01637763,3225.000251,1002.527823,112.0230697,0.127311009,6.303947208
13,1479.505379,0.025546337,8.795224455,94.60453861,0.032084648,4212.984822,858.2821647,9.489170898,737.4072978,916.3044083,0.362133784,4.911072655,0.013435604,22.32113456,500.1559343,2.773424555,0.02919087,0.313721314,169.1522899,377.2432272,8.731605308,0.596566282,125.6317379
5,5493.279312,0.035091725,0.05179116,22.47213629,0.019940389,0.023296762,18.52835943,0.016990456,2622.628464,281.7745608,0.469885841,0.081799606,0.022182494,1.873929611,23.04917484,0.346164041,0.292438936,59.509744,581.511603,0.492801577,0.227923714,0.010006031,3.569918532
5,25.08798139,0.018415555,0.026846888,1938.8866,0.975848793,1.616120057,454.8938074,0.105919391,69.02879151,90.28583398,0.240221598,0.176876553,0.015449811,408.5630532,1195.401042,1362.05309,1.335255821,0.217831092,115.6145354,6.968569216,1.63716386,316.5951537,3031.264278
9,15.68150012,0.190607118,0.684739538,1276.903654,0.019959519,60.02752191,8.166007396,2.44224391,2025.657095,1397.172814,25.69407918,0.380818888,1992.890574,2330.310026,7548.605162,0.058784238,0.011834327,108.7343321,1828.194653,9.503296487,0.094109159,0.033007972,0.863338643
3,0.047102093,0.848135662,4.822037967,26.03403017,0.022325037,0.060143947,9023.865207,0.144881618,1669.809966,270.9615076,0.286162927,0.185067027,0.062360282,553.0937158,145.9499001,32.85432004,0.71567404,150.6730106,3693.345745,421.7642654,1.731560747,2238.421789,6182.728784
15,630.332753,1.392891059,0.059905791,5202.988828,0.03286405,2385.449942,1123.236588,0.023440381,2455.008941,6024.74873,0.097992011,0.097049546,0.011691498,169.2147211,8.876106507,857.7685542,1.195456675,0.061291374,1.536643314,0.333760382,0.011012629,0.073219582,107.7257565
13,0.094810375,0.021860235,0.609318292,68.78167596,0.016719354,0.095378127,443.0876792,0.072909556,1831.941783,1.309853129,1.784290291,0.012053853,0.017639658,107.81385,1208.353915,5089.160529,328.3366118,43.45668435,4886.33945,23.38942397,10.21934899,0.130258571,0.396870146
1,307.4280018,62.6201981,2.699511553,7862.954713,24.44979969,0.925682016,64.76470011,13.98424367,2389.19298,56.6080584,393.6846678,4.027726109,0.274573627,2565.526022,2389.891681,5848.06254,62.94116952,2.355957761,475.7389255,3254.680655,641.6601337,3.435446035,1012.735322
3,0.24651637,0.015426091,0.023656128,6591.402541,0.017094822,3.428004796,13.4360797,3.39417807,2205.8202,7.791553423,99.58021898,16.84384742,0.703874502,1728.933696,1655.919655,6.909028564,0.176484778,0.016259843,0.886104711,32.04089219,6.023651733,6.288268324,6.628285329
1,3139.040769,0.07862005,33.15645506,3.848178496,2.830954318,0.227733383,9696.890692,0.025924788,558.4919788,184.1119778,0.464142902,0.140039676,0.012225464,286.4571403,4943.75826,2.643428446,0.150817696,0.546390126,30.73559239,134.1031236,28.32945158,0.336118422,84.6723966
15,5.242006817,0.012535928,32.59376233,1338.101625,0.013176783,0.01038887,2.029786577,1.613943136,884.1550887,2.74202121,12.29049996,7.512677681,4.784119871,4915.255982,371.5825064,21.92598779,0.161531758,2.549060829,56.2143946,1340.167593,231.9521635,0.60437754,2.881799518
9,164.1806724,0.425620417,791.0029804,2370.174798,36.72702005,0.017047877,18.21419198,0.813243196,801.8319923,2296.584989,1.761272925,0.035630011,0.030636146,51.42598914,4364.946465,11.84246607,11.20967138,9.167362961,98.91908837,0.086654816,0.01166453,0.26285228,615.1766141
7,819.6985055,0.412931489,433.8115489,10.88751294,0.01026539,0.098965309,394.2529465,0.044636625,941.1451859,9858.325452,0.088208951,0.032199504,0.010626605,573.1913722,7.768844537,47.51015886,0.158573365,16.47836595,52.66378261,1030.083595,45.26097232,6.957806333,9032.216274
7,0.540847791,0.197438014,0.335251471,1937.274505,77.81349326,9.394783236,8877.147812,0.621711371,548.2513081,103.5712546,0.283646758,2.520548252,0.047729494,107.1290266,145.6351139,2624.662525,8985.140155,268.0288767,325.4659474,1833.368056,1.299130492,0.109890749,3217.430831
7,36.28441223,0.041823437,1.459047539,13.23760911,70.4872541,0.071377935,2017.178412,0.026276044,5423.149111,932.3346782,4.49831872,0.787505241,0.021813716,380.3355008,90.97975209,4.087056309,0.302990101,9.104467388,78.17763996,1.258619787,0.04714613,0.061970077,172.224024
1,2687.563257,597.4467977,0.148493697,346.9557149,23.13063521,0.042144137,1271.923535,0.172673629,9672.59095,80.76085055,0.570666162,0.061869941,0.014451903,110.7356041,2938.718845,204.8727732,32.13116504,497.840903,3337.001612,29.15803745,1.111765977,0.134845621,1254.262582
